Account Number,Person's Name,Last Contact Date,Last Paid Date,Last Payment Extension,Cure Sent/Needed,Was Accel Sent (If Needed),"Credit Reporting Past Due 31, 61, 91",Last Assigned for Repossession,Previous Repo/Reinstatement Date,Reason for Being Past Due,Extension Eligible
ACCT934708,Customer 1,2021-06-12,2020-12-25,2022-11-03,No,,None,2025-02-24,2022-03-16,Other,Yes
ACCT283428,Customer 2,,,2024-02-09,Yes,No,91+ days,2021-08-23,2020-04-23,Unexpected expenses,No
ACCT939277,Customer 3,2024-12-27,2020-05-26,2023-04-11,No,,91+ days,2023-10-04,2023-06-30,Divorce,No
ACCT183190,Customer 4,2020-05-10,,2020-07-25,No,,91+ days,2022-03-20,,Divorce,No
ACCT793621,Customer 5,2022-08-21,2020-12-22,,Yes,Yes,31 days,,2022-01-18,Late paycheck,Yes
ACCT908328,Customer 6,2023-07-19,2024-03-23,2020-08-08,No,,31 days,2023-12-26,2024-07-04,Job loss,Yes
ACCT698560,Customer 7,2022-06-10,2024-08-10,2023-01-26,Yes,Yes,61 days,2023-09-24,2023-10-26,Other,Yes
ACCT373262,Customer 8,2023-04-02,2023-05-12,2020-03-15,Yes,No,None,2020-08-27,2021-09-28,Unexpected expenses,No
ACCT994054,Customer 9,2024-09-17,2024-03-31,,Yes,No,31 days,2020-05-12,2021-07-19,Other,Yes
ACCT942224,Customer 10,2021-12-22,2022-01-09,2020-04-06,No,,31 days,2023-10-17,2023-01-17,Job loss,Yes
ACCT259749,Customer 11,2020-05-29,,2023-09-09,No,,None,2021-08-27,2020-12-19,Other,No
ACCT544873,Customer 12,2024-01-27,2024-01-19,2023-04-27,Yes,No,None,2022-02-28,,Divorce,No
ACCT409134,Customer 13,2020-10-25,2021-04-08,2020-03-04,Yes,No,31 days,2022-04-28,2023-07-26,Bank error,Yes
ACCT784894,Customer 14,2024-11-11,,2020-01-01,No,,61 days,2024-05-21,,Bank error,No
ACCT341252,Customer 15,2021-07-20,2025-01-30,,Yes,No,None,2022-02-09,2021-05-11,Medical emergency,No
ACCT728781,Customer 16,2023-03-04,2020-09-26,2022-06-22,Yes,Yes,None,,2024-01-18,Other,Yes
ACCT507854,Customer 17,,,,No,,31 days,,,Job loss,No
ACCT805955,Customer 18,2022-11-23,2020-08-30,2021-06-25,Yes,Yes,91+ days,2021-07-15,2023-08-28,Unexpected expenses,No
ACCT678577,Customer 19,,2024-05-18,2023-02-19,No,,91+ days,2023-09-27,,Job loss,No
ACCT796973,Customer 20,,2022-09-08,2022-04-24,Yes,No,91+ days,2024-01-02,2025-01-27,Unexpected expenses,Yes
ACCT815149,Customer 21,2020-03-09,2024-04-25,2023-10-07,No,,91+ days,2021-01-21,2021-12-12,Bank error,No
ACCT613249,Customer 22,2021-08-22,2024-08-18,2020-07-25,No,,31 days,,2024-02-19,Job loss,Yes
ACCT135482,Customer 23,2024-03-25,2020-02-11,2020-09-05,Yes,Yes,31 days,2021-09-10,2020-03-20,Other,Yes
ACCT908071,Customer 24,2025-01-27,2023-12-18,,No,,None,2021-04-21,,Bank error,No
ACCT879232,Customer 25,2020-02-19,2024-12-25,2022-10-23,Yes,No,91+ days,2022-04-20,2021-12-01,Job loss,No
ACCT446621,Customer 26,2024-01-01,2020-11-07,2022-04-28,Yes,Yes,91+ days,2024-06-05,,Unexpected expenses,Yes
ACCT228954,Customer 27,2020-02-15,2024-08-14,2021-01-29,No,,61 days,2021-11-24,2021-04-29,Job loss,No
ACCT155954,Customer 28,2023-07-20,2023-03-12,,No,,31 days,2021-03-29,2021-02-28,Divorce,Yes
ACCT789150,Customer 29,2022-03-11,2024-12-23,2020-02-16,No,,91+ days,,,Overspending,No
ACCT882165,Customer 30,2020-01-30,2024-12-01,,No,,None,2022-05-18,2023-02-15,Medical emergency,No
ACCT584514,Customer 31,2023-11-02,2020-07-22,2024-06-05,Yes,No,91+ days,2020-04-18,2024-02-08,Divorce,No
ACCT880855,Customer 32,2020-04-30,,2022-01-07,Yes,No,31 days,2023-10-06,,Other,Yes
ACCT918223,Customer 33,2022-02-19,2020-04-11,2020-04-11,Yes,Yes,91+ days,2023-11-28,2023-09-29,Late paycheck,No
ACCT479186,Customer 34,2024-10-17,2022-07-09,,Yes,Yes,None,2020-02-04,2022-10-22,Unexpected expenses,No
ACCT124324,Customer 35,2020-06-16,2021-11-25,2020-01-21,Yes,No,91+ days,2020-12-25,2023-02-17,Overspending,No
ACCT969644,Customer 36,,2021-06-29,,Yes,No,91+ days,2020-09-07,2023-04-12,Unexpected expenses,Yes
ACCT556500,Customer 37,2020-05-23,,2021-04-26,No,,91+ days,2024-05-08,,Medical emergency,Yes
ACCT758382,Customer 38,,2022-07-17,2022-08-21,No,,61 days,2024-10-16,2024-01-11,Medical emergency,Yes
ACCT243064,Customer 39,,2022-10-17,2022-07-20,Yes,No,31 days,2020-07-08,2023-08-13,Bank error,No
ACCT772440,Customer 40,2022-08-17,2020-03-15,2024-08-27,Yes,Yes,61 days,2021-11-01,,Unexpected expenses,No
ACCT592353,Customer 41,2021-09-21,2024-12-22,,No,,61 days,2023-03-23,2024-09-28,Unexpected expenses,Yes
ACCT134060,Customer 42,2022-04-27,,2022-03-03,No,,91+ days,2020-05-25,2021-01-15,Late paycheck,Yes
ACCT144303,Customer 43,2022-03-24,2020-11-17,2024-10-31,No,,31 days,,2025-02-18,Job loss,Yes
ACCT268712,Customer 44,2020-05-19,2024-05-08,2024-05-21,Yes,No,31 days,2020-07-24,,Divorce,Yes
ACCT374594,Customer 45,,2020-12-28,,No,,None,2022-05-11,2025-02-18,Bank error,Yes
ACCT399391,Customer 46,2020-04-29,2021-04-09,2023-12-20,Yes,Yes,61 days,2021-08-31,2023-08-21,Other,No
ACCT272654,Customer 47,2022-01-13,2023-11-13,,Yes,Yes,None,2021-09-10,2022-04-14,Divorce,Yes
ACCT604495,Customer 48,,2020-03-29,2022-04-14,Yes,Yes,31 days,2020-09-26,2021-01-31,Bank error,No
